name,minutes,goals,assists,age,yellow,red
J. Tarkowski,106,0,0,24,1,0
S. Ward,1207,1,0,31,1,0
S. Arfield,893,1,0,28,3,0
J. Guðmunds­son,828,1,1,26,0,0
G. Boyd,1009,1,0,31,1,0
S. Defour,693,1,3,28,1,0
J. Hendrick,1001,2,0,24,2,0
M. Kightly,94,0,0,30,0,0
D. Marney,1282,1,1,32,4,0
A. O'Neill,82,0,0,18,0,0
P. Bamford,31,0,0,23,0,0
A. Barnes,213,1,0,27,1,0
A. Gray,634,1,2,25,0,0
S. Vokes,1145,4,1,27,0,0
G. Arlauskis,0,0,0,29,0,0
Gomes,1293,0,0,35,1,0
R. Gilmartin,0,0,0,29,0,0
C. Pantilimon,57,0,0,29,0,0
M. Britos,1075,0,0,31,5,0
C. Cathcart,406,0,0,27,1,0
B. Dja Djédjé,0,0,0,26,0,0
A. Eleftheriou,0,0,0,0,0,0
J. Holebas,1226,2,3,32,7,0
D. Janmaat,496,1,1,27,0,0
C. Kabasele,219,1,0,25,0,0
Y. Kaboul,715,0,0,30,0,0
A. Mariappa,0,0,0,30,0,0
J. Paredes,0,0,0,29,0,0
S. Prödl,1175,1,1,29,2,0
C. Zúñiga,506,1,0,30,1,0
N. Amrabat,1063,0,3,29,3,0
V. Behrami,1205,0,0,31,5,0
E. Capoue,1313,5,1,28,1,0
A. Doucouré,6,0,0,23,0,0
A. Guédioura,384,0,1,31,2,0
Kenedy,15,0,0,20,0,0
B. Watson,51,0,0,31,0,1
I. Success,187,1,0,20,1,0
T. Deeney,1338,3,3,28,4,0
O. Ighalo,885,1,1,27,1,0
S. Okaka,195,2,0,27,1,0
R. Pereyra,1009,2,2,25,2,1
J. Sinclair,0,0,0,20,0,0
E. Jakupovic,450,0,0,32,0,0
D. Kuciak,0,0,0,31,0,0
W. Mannion,0,0,0,18,0,0
D. Marshall,990,0,0,31,0,0
A. McGregor,0,0,0,34,0,0
A. Bruce,0,0,0,32,0,0
J. Clackstone,0,0,0,20,0,0
C. Davies,1440,0,1,31,2,0
M. Dawson,720,2,0,33,1,0
B. Lenihan,0,0,0,22,0,0
H. Maguire,555,0,2,24,1,0
M. Odubajo,0,0,0,23,0,0
A. Robertson,963,0,0,22,2,0
H. Rodgers,0,0,0,20,0,0
J. Tymon,158,0,0,17,0,0
S. Clucas,1400,0,1,26,5,0
Ahmed El Mohamady,1289,0,0,29,1,1
M. Henriksen,528,0,0,24,0,0
T. Huddlestone,800,0,0,29,2,0
J. Livermore,1346,1,1,27,2,1
S. Maloney,148,1,1,33,0,0
R. Mason,770,1,0,25,3,0
D. Meyler,698,1,0,27,1,0
G. Olley,0,0,0,20,0,0
R. Snodgrass,1276,5,2,29,2,0
J. Weir,0,0,0,21,0,0
J. Bowen,56,0,0,19,0,0
A. Diomande,824,2,0,26,1,0
A. Hernández,672,1,1,26,0,0
B. Hinchliffe,0,0,0,19,0,0
W. Keane,282,0,0,23,0,0
G. Luer,0,0,0,22,0,0
D. Mbokani,364,0,1,31,0,0
B. Guzan,180,0,0,32,0,0
D. Konstantopoulos,0,0,0,38,0,0
Tomás,0,0,0,27,0,0
Víctor Valdés,1260,0,0,34,1,0
Barragán,1419,0,0,29,4,0
C. Chambers,900,0,0,21,3,0
B. Espinosa,0,0,0,27,0,0
G. Friend,900,0,1,29,1,0
B. Gibson,1440,1,0,23,1,0
J. Husband,0,0,0,22,0,0
Fábio,431,0,0,26,1,0
Daniel Ayala,388,1,0,26,2,0
A. Clayton,1084,0,0,27,4,0
C. de Pena,0,0,0,24,0,0
M. de Roon,1043,1,0,25,3,0
J. De Sart,0,0,0,21,0,0
S. Downing,949,1,2,32,1,0
A. Forshaw,1329,0,1,25,3,0
G. Leadbitter,62,0,0,30,0,0
Nsue,322,0,0,27,0,0
G. Ramírez,927,2,2,26,5,0
Adama Traoré,599,0,0,20,1,0
V. Fischer,394,0,2,22,0,0
Álvaro Negredo,1234,3,3,31,1,0
D. Nugent,39,0,0,31,0,0
J. Rhodes,208,0,0,26,0,0
C. Stuani,611,3,0,30,3,0
V. Mannone,180,0,0,28,0,0
J. Pickford,1170,0,0,22,0,0
Mika,0,0,0,25,0,0
M. Stryjek,0,0,0,20,0,0
J. Denayer,521,0,0,21,2,0
P. Djilobodji,947,0,0,28,4,0
B. Jones,594,0,0,29,3,0
J. Kirchhoff,378,0,0,26,1,0
L. Koné,1170,0,0,27,1,0
D. Love,195,0,0,22,1,0
Javi Manquillo,640,0,0,22,1,0
J. O'Shea,536,0,0,35,1,0
P. van Aanholt,1154,2,1,26,1,0
J. Asoro,9,0,0,17,0,0
L. Cattermole,176,0,0,28,1,0
L. Gooch,321,0,0,20,3,0
G. Honeyman,0,0,0,22,0,0
A. Januzaj,538,0,0,21,1,0
W. Khazri,425,0,0,25,2,0
S. Larsson,99,0,0,31,1,0
P. McNair,354,0,0,21,0,0
D. Ndong,974,0,0,22,4,0
S. Pienaar,652,0,0,34,5,0
E. Robson,0,0,0,20,0,0
T. Robson,0,0,0,21,0,0
J. Rodwell,639,0,1,25,2,0
D. Watmore,1029,0,2,22,1,0
V. Anichebe,463,3,0,28,1,0
F. Borini,154,0,0,25,0,0
J. Defoe,1343,8,2,34,0,0
R. Greenwood,0,0,0,20,0,0
