team,country,name,minutes,goals,assists,age,position,yellow,red
West Bromwich Albion,England,S. Rondón,1271,4,2,27,A,0,0
West Ham United,England,D. Randolph,360,0,0,29,G,0,0
West Ham United,England,Adrián,990,0,0,29,G,1,0
West Ham United,England,R. Spiegel,0,0,0,23,G,0,0
West Ham United,England,Arbeloa,256,0,0,33,D,3,0
West Ham United,England,S. Byram,264,0,0,23,D,2,0
West Ham United,England,J. Collins,727,1,0,33,D,1,0
West Ham United,England,A. Cresswell,525,0,1,26,D,2,0
West Ham United,England,A. Masuaku,527,0,1,23,D,1,0
West Ham United,England,A. Ogbonna,1080,0,0,28,D,1,0
West Ham United,England,R. Oxford,0,0,0,17,D,0,0
West Ham United,England,A. Pike,0,0,0,19,D,0,0
West Ham United,England,W. Reid,1068,1,2,28,D,6,0
West Ham United,England,M. Antonio,1195,7,0,26,M,4,0
West Ham United,England,M. Browne,0,0,0,18,M,0,0
West Ham United,England,G. Diangana,0,0,0,18,M,0,0
West Ham United,England,S. Feghouli,128,0,0,26,M,1,0
West Ham United,England,E. Fernandes,313,0,0,20,M,2,0
West Ham United,England,C. Kouyaté,1170,0,0,26,M,1,0
West Ham United,England,M. Lanzini,917,3,0,23,M,1,0
West Ham United,England,Pedro Obiang,780,0,0,24,M,3,0
West Ham United,England,M. Noble,1153,0,0,29,M,4,0
West Ham United,England,H. Nordtveit,405,0,0,26,M,0,0
West Ham United,England,D. Payet,1086,2,5,29,M,1,0
West Ham United,England,Domingos Quina,0,0,0,17,M,0,0
West Ham United,England,G. Töre,241,0,1,24,M,0,0
West Ham United,England,A. Ayew,295,0,0,26,A,0,0
West Ham United,England,J. Calleri,129,0,0,23,A,0,0
West Ham United,England,A. Carroll,134,1,0,27,A,0,0
West Ham United,England,A. Fletcher,292,0,0,21,A,2,0
West Ham United,England,D. Sakho,127,1,0,26,A,0,0
West Ham United,England,S. Zaza,460,0,0,25,A,2,0
Leicester City,England,B. Hamer,0,0,0,29,G,0,0
Leicester City,England,K. Schmeichel,687,0,0,30,G,0,0
Leicester City,England,R. Zieler,663,0,0,27,G,0,0
Leicester City,England,Y. Benalouane,0,0,0,29,D,0,0
Leicester City,England,B. Chilwell,0,0,0,19,D,0,0
Leicester City,England,C. Fuchs,1328,1,1,30,D,4,0
Leicester City,England,Luis Hernández,236,0,0,27,D,0,0
Leicester City,England,R. Huth,1257,0,1,32,D,4,0
Leicester City,England,W. Morgan,1350,1,0,32,D,0,0
Leicester City,England,D. Simpson,1197,0,0,29,D,5,0
Leicester City,England,M. Wasilewski,0,0,0,36,D,0,0
Leicester City,England,M. Albrighton,868,0,0,27,M,1,0
Leicester City,England,D. Amartey,925,0,1,21,M,2,0
Leicester City,England,H. Barnes,0,0,0,19,M,0,0
Leicester City,England,D. Drinkwater,1069,0,1,26,M,1,0
Leicester City,England,D. Gray,228,1,1,20,M,1,0
Leicester City,England,M. James,0,0,0,25,M,0,0
Leicester City,England,B. Kapustka,0,0,0,19,M,0,0
Leicester City,England,A. King,713,1,0,28,M,0,0
Leicester City,England,N. Mendy,53,0,0,24,M,1,0
Leicester City,England,R. Mahrez,1177,3,2,25,A,3,0
Leicester City,England,A. Musa,486,2,0,24,A,1,0
Leicester City,England,S. Okazaki,631,2,0,30,A,1,0
Leicester City,England,J. Schlupp,139,0,0,23,A,0,0
Leicester City,England,I. Slimani,617,4,3,28,A,0,0
Leicester City,England,L. Ulloa,92,0,0,30,A,0,0
Leicester City,England,J. Vardy,1134,5,2,29,A,2,0
Stoke City,England,D. Bachmann,0,0,0,22,G,0,0
Stoke City,England,J. Butland,0,0,0,23,G,0,0
Stoke City,England,S. Given,450,0,0,40,G,1,0
Stoke City,England,L. Grant,990,0,0,33,G,0,0
Stoke City,England,J. Haugaard,0,0,0,24,G,0,0
Stoke City,England,P. Bardsley,662,0,0,31,D,2,0
Stoke City,England,G. Cameron,630,0,0,31,D,0,0
Stoke City,England,Dionatan,0,0,0,24,D,0,0
Stoke City,England,G. Johnson,663,0,0,32,D,0,0
Stoke City,England,B. Martins Indi,1170,0,0,24,D,0,0
Stoke City,England,Muniesa,287,1,0,24,D,1,0
Stoke City,England,E. Pieters,1350,0,0,28,D,2,0
Stoke City,England,R. Shawcross,1170,0,1,29,D,3,0
Stoke City,England,C. Adam,664,1,0,31,M,3,0
Stoke City,England,I. Afellay,0,0,0,30,M,0,0
Stoke City,England,J. Allen,1192,4,2,26,M,5,0
Stoke City,England,G. Imbula,581,0,0,24,M,1,0
Stoke City,England,S. Ireland,0,0,0,30,M,0,0
Stoke City,England,X. Shaqiri,858,3,0,25,M,1,0
Stoke City,England,O. Shenton,0,0,0,19,M,0,0
Stoke City,England,T. Verlinden,0,0,0,17,M,0,0
Stoke City,England,G. Whelan,1041,0,1,32,M,2,0
Stoke City,England,M. Arnautović,1238,1,2,27,A,5,1
Stoke City,England,W. Bony,684,2,0,28,A,1,0
Stoke City,England,P. Crouch,196,0,0,35,A,0,0
Stoke City,England,M. Diouf,570,0,1,28,A,1,0
Stoke City,England,Bojan,363,2,0,26,A,1,0
Stoke City,England,J. Ngoy,4,0,0,19,A,0,0
Stoke City,England,Ramadan Sobhi,171,1,0,19,A,0,0
Stoke City,England,J. Walters,659,1,1,33,A,0,0
Crystal Palace,England,W. Hennessey,540,0,0,29,G,1,0
Crystal Palace,England,S. Mandanda,810,0,0,31,G,0,0
Crystal Palace,England,J. Speroni,0,0,0,37,G,0,0
Crystal Palace,England,S. Dann,990,2,1,29,D,2,0
Crystal Palace,England,D. Delaney,1026,0,0,35,D,2,0
Crystal Palace,England,Z. Fryers,164,0,1,24,D,0,0
Crystal Palace,England,M. Kelly,859,0,1,26,D,1,0
Crystal Palace,England,P. Souaré,270,0,0,26,D,0,0
Crystal Palace,England,J. Tomkins,773,3,0,27,D,2,0
Crystal Palace,England,J. Ward,1348,0,1,27,D,1,0
Crystal Palace,England,Y. Cabaye,744,1,0,30,M,5,0
Crystal Palace,England,L. Dreher,0,0,0,18,M,0,0
Crystal Palace,England,M. Flamini,19,0,0,32,M,0,0
Crystal Palace,England,J. Ledley,762,1,0,29,M,0,0
Crystal Palace,England,Chung-Yong Lee,283,0,1,28,M,0,0
Crystal Palace,England,J. McArthur,1081,4,2,29,M,4,0
Crystal Palace,England,J. Mutch,8,0,0,25,M,0,0
Crystal Palace,England,M. Phillips,0,0,0,19,M,0,0
Crystal Palace,England,J. Puncheon,1142,0,3,30,M,5,0
Crystal Palace,England,B. Sako,22,0,0,28,M,0,0
Crystal Palace,England,A. Townsend,1098,1,0,25,M,3,0
Crystal Palace,England,B. Wynter,0,0,0,19,M,0,0
Crystal Palace,England,W. Zaha,1194,3,6,24,M,3,0
Crystal Palace,England,K. Appiah,0,0,0,26,A,0,0
Crystal Palace,England,J. Benteke,6,0,0,21,A,0,0
Crystal Palace,England,C. Benteke,1155,8,1,26,A,3,0
Crystal Palace,England,F. Campbell,32,1,0,29,A,0,0
Crystal Palace,England,L. Rémy,0,0,0,29,A,0,0
Crystal Palace,England,C. Wickham,410,2,0,23,A,1,0
Swansea City,Wales,M. Birighitti,0,0,0,25,G,0,0
Swansea City,Wales,Ł. Fabiański,1350,0,0,31,G,1,0
Swansea City,Wales,K. Nordfeldt,0,0,0,27,G,0,0
Swansea City,Wales,G. Tremmel,0,0,0,38,G,0,0
Swansea City,Wales,Jordi Amat,1080,0,0,24,D,4,0
Swansea City,Wales,F. Fernández,720,0,1,27,D,3,0
Swansea City,Wales,S. Kingsley,586,0,0,22,D,0,0
Swansea City,Wales,A. Mawson,360,0,0,22,D,0,0
Swansea City,Wales,K. Naughton,1117,0,0,28,D,3,0
Swansea City,Wales,Àngel Rangel,474,0,0,34,D,1,0
